ATR,Entry_Window,Exit_Window,Sharpe,Net_Profit,Drawdown,Trades,WinRate
2.75,30,10,0.836041199236376,2263.18383924644,47.14320008167556,19,47.368421052631575
2.0,40,10,0.834459938569989,2014.9419041299734,42.67698626025571,21,47.61904761904761
2.0,40,20,0.8286577859140253,1949.2115475647602,42.67698626025571,20,45.0
3.0,40,10,0.8261973342040781,2194.3610160558933,48.89962169608509,18,50.0
1.75,30,15,0.8255149969932327,1955.0910989251156,38.41149078797808,23,43.47826086956522
2.5,15,10,0.822667508025867,2414.909479998284,58.28325514892395,27,40.74074074074074
1.5,30,5,0.8224659961731275,1809.378023351734,39.22398143782196,25,40.0
3.0,25,15,0.8213243146264658,2354.2449182166397,50.733599934407835,18,44.44444444444444
2.25,35,10,0.820395140072113,1956.4512462661373,42.67698626025572,21,47.61904761904761
1.5,40,5,0.8198544365870356,1778.3181092722893,39.22398143782196,24,41.66666666666667
1.75,40,20,0.816764161667898,1896.2286057204697,38.41149078797807,22,45.45454545454545
3.0,30,10,0.816411362522015,2154.7488481781047,48.89962169608507,19,47.368421052631575
2.0,40,15,0.816230113879461,1937.6057903372948,42.67698626025571,21,47.61904761904761
2.25,25,5,0.8130239150727173,1940.4913811942833,49.94810183802825,25,44.0
3.0,30,15,0.8099369827988683,2219.4476487978854,43.46681312009124,17,41.17647058823529
2.5,20,15,0.8081844793846142,2308.9746428039075,48.57019694559949,24,33.33333333333333
2.25,30,10,0.7998985910851508,1872.8093310333306,42.67698626025573,22,45.45454545454545
1.75,30,20,0.7970182740380892,1827.6419810564153,38.41149078797808,23,43.47826086956522
2.0,30,15,0.7970054794580904,1868.0373321972693,42.67698626025573,22,45.45454545454545
2.25,40,10,0.7967975229923921,1841.0500803540513,42.67698626025572,21,47.61904761904761
2.0,35,5,0.7960184351115197,1774.0084292947386,46.43892923923894,23,43.47826086956522
1.75,35,5,0.7941640258625136,1728.7619291680558,44.350146862427636,24,41.66666666666667
1.5,20,10,0.7918976925060427,1940.3358907946326,34.368324455364956,30,36.666666666666664
2.0,30,20,0.7872787470297319,1782.493783382978,42.67698626025571,21,42.857142857142854
1.5,20,5,0.7843372651212756,1879.9047666597285,40.69684179790469,31,35.483870967741936
2.5,20,5,0.7839598450584759,2005.3230971022444,47.736747010630495,29,37.93103448275862
1.5,20,15,0.7826820579951502,1897.6903908907589,34.36832445536496,30,36.666666666666664
1.5,20,20,0.7826820579951502,1897.6903908907589,34.36832445536496,30,36.666666666666664
2.75,25,5,0.7791709414248468,1921.2571441245768,49.94810183802826,24,45.83333333333333
3.0,25,5,0.7791709414248468,1921.2571441245768,49.94810183802826,24,45.83333333333333
2.75,15,20,0.7749949440813736,2314.9341727164565,52.737479290325794,21,33.33333333333333
2.0,30,5,0.774902117025232,1695.526534184888,46.438929239238924,24,41.66666666666667
3.0,20,20,0.7740867426637067,2257.9278996713815,46.46305684039493,19,36.84210526315789
1.75,30,5,0.7725849996705455,1651.563463022237,44.35014686242763,25,40.0
2.0,40,5,0.7716963171422911,1665.728677550187,46.43892923923893,23,43.47826086956522
1.75,40,5,0.7694182842781119,1622.2483147391981,44.350146862427636,24,41.66666666666667
2.25,35,5,0.7678670654252385,1657.656729975476,46.43892923923893,23,43.47826086956522
2.5,15,20,0.7638986825705756,2067.0432333547487,61.64249192793797,24,29.166666666666668
1.75,20,10,0.7517722908236457,1810.449616492515,39.90404123799108,29,37.93103448275862
1.5,15,10,0.7473748490078982,1791.746923536491,51.05081017071401,32,37.5
2.25,30,5,0.7470311459279683,1582.4666424049956,46.438929239238924,24,41.66666666666667
2.5,15,5,0.7457802291258856,1867.7580806873448,61.02120096061198,31,38.70967741935484
2.25,40,5,0.743585952286944,1553.918612994648,46.43892923923892,23,43.47826086956522
2.5,15,15,0.7431691004549553,1970.2315015431395,61.64249192793796,26,34.61538461538461
2.0,20,5,0.7426365141354825,1740.9800408418055,47.736747010630495,30,36.666666666666664
2.25,35,20,0.7409806204346975,1590.7158543082505,42.67698626025572,20,45.0
2.25,25,15,0.7408805278716871,1690.3172726923376,47.7232190604977,23,47.82608695652174
1.5,15,5,0.7393968773128197,1734.3696676190111,55.77072314211502,33,36.36363636363637
1.75,20,5,0.7389023201178435,1696.2683015756597,45.698778521260316,31,35.483870967741936
1.5,15,15,0.7386346208426627,1751.2565008157226,51.050810170714,32,37.5
1.5,15,20,0.7386346208426627,1751.2565008157226,51.050810170714,32,37.5
2.75,35,5,0.7342812911689081,1640.27256081206,46.438929239238924,22,45.45454545454545
3.0,35,5,0.7342812911689081,1640.27256081206,46.438929239238924,22,45.45454545454545
